a_opt,u_opt,meas,error
no_action,0.011323099499999989,43.8600766674772,1.0
no_action,0.03417903099999997,55.74992361871219,1.0
no_action,0.0399614452,59.196062179504096,1.0
no_action,0.021696460599999967,49.979230431424064,1.0
no_action,0.03369616740000003,55.5587089358938,1.0
no_action,0.02203082040000004,50.178407931630446,1.0
no_action,0.006892809600000049,39.49504973176481,1.0
strengthen,0.05378723951912029,65.29883102667156,1.0
no_action,0.029315472900000028,53.16592434724235,1.0
no_action,0.02247374999999996,50.57015621229145,1.0
no_action,0.018252230800000047,48.27584322083166,1.0
no_action,0.01776660760000004,48.04467629513361,1.0
no_action,0.03186901149999999,54.623211532209744,1.0
no_action,0.031012489999999948,54.073467747472,1.0
no_action,0.004769919999999983,36.24734416788823,1.0
no_action,0.02974344640000004,53.34709677537329,1.0
no_action,0.012975009699999984,45.64407699632239,1.0
no_action,0.026421796000000053,52.2569731916206,1.0
no_action,0.03707186799999995,57.78910401454181,1.0
strengthen,0.053473275429646805,64.64263021731819,1.0
no_action,0.025728219200000013,51.704981542621574,1.0
no_action,0.03933038079999995,58.94724012256211,1.0
no_action,0.03553985999999998,56.73543883793275,1.0
no_action,0.030761600499999986,53.89139728860695,1.0
strengthen,0.05185439598392391,64.06735048817407,1.0
no_action,0.027311623599999946,52.439553375143646,1.0
no_action,0.011841147199999957,44.63580483229639,1.0
no_action,0.008746259499999964,41.214190095944076,1.0
no_action,0.03107482660000005,54.25604793099504,1.0
no_action,0.048812341899999945,62.25238214104813,1.0
no_action,0.03854317159999998,58.704860874540316,1.0
strengthen,0.05884739784946522,68.27849734695788,1.0
no_action,0.01540928939999997,47.316958943111544,1.0
no_action,0.02302863310000003,50.76309750390345,1.0
no_action,0.01841573019999998,48.502119672870556,1.0
no_action,0.04072361099999999,59.45198466539082,1.0
no_action,0.03484999079999995,56.334613190985195,1.0
no_action,0.017233228000000045,47.808160248075325,1.0
no_action,0.024481839100000014,51.332192131214825,1.0
no_action,0.03668254000000004,57.57141454625289,1.0
no_action,0.03612002000000003,57.14704449564954,1.0
no_action,0.014126991799999988,46.52477202434165,1.0
no_action,0.038052164,58.46834482748203,1.0
no_action,0.034671594400000005,56.13770166191362,1.0
no_action,0.042450859100000016,60.27045849487716,1.0
no_action,0.01341200659999997,45.94946019152561,1.0
no_action,0.010538703000000038,43.42902984456881,1.0
strengthen,0.05136450400034888,63.55232511867786,1.0
no_action,0.012764260500000013,45.324754394238056,1.0
no_action,0.027856062400000048,52.80330012904215,1.0
no_action,0.024973159600000017,51.51915329738213,1.0
strengthen,0.05024054703803247,63.08399127804683,1.0
no_action,0.0495818536,62.65294445513844,1.0
no_action,0.045848093399999956,61.52353607871453,1.0
no_action,0.03632778000000003,57.35749677297592,1.0
no_action,0.03275908510000003,55.36906123184581,1.0
no_action,0.026754236399999964,52.07376546979964,1.0
no_action,0.03298856309999998,55.180828991400816,1.0
no_action,0.030296530600000038,53.70972099357349,1.0
no_action,0.007986483399999966,40.44312557026123,1.0
no_action,0.031443981300000035,54.439255652816,1.0
strengthen,0.05534621446685159,66.06989555235441,1.0
no_action,0.020136215800000024,49.3659766269661,1.0
no_action,0.008950501000000055,41.870390905297455,1.0
no_action,0.03436234709999997,55.94286491032419,1.0
no_action,0.01933212959999997,48.94160657636275,1.0
no_action,0.022542130599999988,50.37531946070202,1.0
