a_opt,u_opt,stress_meas,strength_meas,SCF_meas
no_action,1.0000000000287557e-6,,,1.3662387622527643
no_action,1.4999999999987246e-5,,,2.168153076507561
no_action,0.005402000000000018,,,3.479497503772551
no_action,5.999999999950489e-6,,,1.9775680407573253
no_action,4.0000000000040004e-5,,,2.3571405490308415
no_action,1.0000000000287557e-6,,,1.3441203321816078
no_action,0.00019199999999996997,,,2.7320608443690473
no_action,6.999999999979245e-6,,,2.0346560857837326
no_action,1.0000000000287557e-6,,,1.5100438700853425
no_action,1.399999999995849e-5,,,2.125770446552791
no_action,0.0006829999999999892,,,3.0672753145999065
strengthen,0.03940400000135597,,,4.580027814913024
no_action,1.999999999946489e-6,,,1.6952415978319948
no_action,7.100000000004325e-5,,,2.4853724523201253
no_action,1.8999999999991246e-5,,,2.2124938728185213
replace,0.08500000089406967,,,7.451139702276064
no_action,0.0006920000000000259,,,3.072828215504877
no_action,9.099999999995223e-5,,,2.548014431083149
no_action,2.9999999999752447e-6,,,1.7062392293278694
no_action,9.99999999995449e-6,,,2.0636833308673554
no_action,4.000000000004e-6,,,1.8760600512762748
