a_opt1,a_opt2,a_opt3,u_opt,meas
strengthen,strengthen,no_action,0.1077306024250528,49.760778973769305
strengthen,strengthen,no_action,0.11914845561174943,52.16297338929956
no_action,no_action,no_action,0.0636950477905447,43.78963124257767
strengthen,strengthen,no_action,0.107525094313334,49.66156787847794
strengthen,no_action,no_action,0.09716137082198258,48.20861962155575
no_action,no_action,no_action,0.050105285226493046,41.13015285710667
no_action,no_action,no_action,0.06052276372413501,43.3042251042228
no_action,no_action,no_action,0.07188474056447447,44.99253773734025
strengthen,no_action,no_action,0.09862238952844155,48.43888011183142
strengthen,no_action,no_action,0.09259062269671288,47.671899947792504
no_action,no_action,no_action,0.0716439846357876,44.9010464807659
no_action,no_action,no_action,0.0825396517862972,46.3387387620448
no_action,no_action,no_action,0.051198029174513215,41.327366953409566
strengthen,no_action,no_action,0.10193087885279661,48.89950391538133
strengthen,no_action,no_action,0.09017241535832206,47.52150785971546
no_action,no_action,no_action,0.04809617290030499,40.80819289126978
no_action,no_action,no_action,0.058201712520829285,42.87011283025293
no_action,no_action,no_action,0.06974745683207183,44.4713316885865
strengthen,no_action,no_action,0.09336716428399235,47.73989006697156
strengthen,no_action,no_action,0.08746595950052685,47.0124755594113
no_action,no_action,no_action,0.06829730210942676,44.38456012594708
no_action,no_action,no_action,0.07716125326892087,45.74808720506018
no_action,no_action,no_action,0.04976827337795364,40.99523344521406
strengthen,no_action,no_action,0.09339643683789205,47.75273891521273
strengthen,no_action,no_action,0.08355403469541117,46.48207174094156
no_action,no_action,no_action,0.04628030073954469,40.291641132760155
no_action,no_action,no_action,0.05459889672503848,42.19296296286878
no_action,no_action,no_action,0.06331233717672768,43.66946663916217
strengthen,no_action,no_action,0.08459493884624084,46.68344467017764
no_action,no_action,no_action,0.07859053256398242,46.01268677283459
no_action,no_action,no_action,0.06311802522701794,43.58945351005865
no_action,no_action,no_action,0.071479558377058,44.846778662431205
no_action,no_action,no_action,0.04727967132219035,40.464113536565144
strengthen,no_action,no_action,0.10537692670506867,49.41480445171201
strengthen,no_action,no_action,0.09574166492425981,47.98644632814122
no_action,no_action,no_action,0.04982740011881537,41.02777766443795
no_action,no_action,no_action,0.058980166122615585,43.16505525887636
no_action,no_action,no_action,0.07079315015287901,44.824794381141366
strengthen,no_action,no_action,0.09716431257108919,48.212809820616414
strengthen,no_action,no_action,0.08999911018385494,47.45881025958365
no_action,no_action,no_action,0.07050531555054985,44.73485155011413
no_action,no_action,no_action,0.07963260144474027,46.14821189476246
no_action,no_action,no_action,0.05034768139866175,41.22165405005242
replace,strengthen,no_action,0.1349961782118924,55.16155831444731
strengthen,strengthen,no_action,0.12385355553743652,53.07935354309228
no_action,no_action,no_action,0.0583491574494197,42.93527772993467
no_action,no_action,no_action,0.07932214517293011,46.05091766043371
strengthen,no_action,no_action,0.09870146394046972,48.47042062860059
strengthen,strengthen,no_action,0.1258416745840348,53.40933741500399
strengthen,strengthen,no_action,0.12016689705498282,52.31018625838986
strengthen,no_action,no_action,0.09837371107016708,48.33930547699848
strengthen,strengthen,no_action,0.11003963511173187,50.39964707110354
no_action,no_action,no_action,0.060310588600799964,43.217903164353245
replace,replace,strengthen,0.1533624276969308,61.460250591861296
replace,strengthen,no_action,0.14452977778618575,58.465632142743694
no_action,no_action,no_action,0.06392465821255311,43.876463489767914
strengthen,no_action,no_action,0.0984175826819403,48.35736418937018
strengthen,strengthen,no_action,0.11766217495565094,51.837083535826295
replace,strengthen,no_action,0.14693905189917697,58.94021360770451
replace,strengthen,no_action,0.14082358636017125,57.359418876443
strengthen,strengthen,no_action,0.11685074360534721,51.64851425707519
strengthen,strengthen,no_action,0.13294734947656528,54.61168917342895
no_action,no_action,no_action,0.06806803471996427,44.28293424218531
replace,replace,replace,0.16500599165105198,79.18008926502324
replace,replace,replace,0.16500599165105198,72.65799189733248
no_action,no_action,no_action,0.04829140098935913,40.88366735979162
strengthen,strengthen,no_action,0.11127467629685184,50.642797330546685
replace,strengthen,no_action,0.14373608975404653,58.221415032748915
strengthen_replace,replace,replace,0.1900029976148739,73.69160154609685
strengthen_replace,replace,replace,0.1900029976148739,70.24872649179466
replace,strengthen,no_action,0.14211849476560764,57.81072257978139
replace,replace,strengthen,0.15794995582857127,64.264337840067
