a_opt,u_opt,meas,error
no_action,0.04193702239999997,60.094863165396944,1.0
no_action,0.03136102900000004,54.470337008490496,1.0
no_action,0.007471545000000024,39.89012373616284,1.0
no_action,0.03268941280000004,55.325585257569465,1.0
no_action,0.04960226160000003,62.62435790970957,1.0
no_action,0.03150288329999995,54.450253876319,1.0
strengthen,0.0527735413531072,64.37306084120188,1.0
no_action,0.026537229500000037,51.982019773170244,1.0
strengthen,0.05990184411411222,68.91339119096827,1.0
strengthen,0.054957023879900244,66.03755159477862,1.0
no_action,0.04236463089999998,60.405620712273894,1.0
no_action,0.0316933331,54.668838670145746,1.0
no_action,0.007390788000000037,39.79762937398475,1.0
no_action,0.03353878330000004,55.54115620588218,1.0
strengthen,0.05009865084278986,62.985599828738984,1.0
no_action,0.010045522999999945,43.30983103452542,1.0
no_action,0.01436719080000004,46.61065066392195,1.0
no_action,0.009609318800000044,42.48877348433297,1.0
no_action,0.017650533199999985,48.12099059046617,1.0
no_action,0.015504465999999995,47.16434315958364,1.0
no_action,0.012536934400000033,45.29088254766539,1.0
no_action,0.010434175500000031,43.3825432197674,1.0
no_action,0.006192027700000047,38.43563860584581,1.0
no_action,0.010719719200000033,43.67271946276152,1.0
no_action,0.013696109099999965,46.14911205280437,1.0
no_action,0.023697844600000018,51.1593864815285,1.0
no_action,0.03803475919999999,58.28415786126434,1.0
no_action,0.019409099200000002,49.38714564697048,1.0
no_action,0.04613720119999998,61.544204725528154,1.0
no_action,0.04070092780000001,59.479295096614,1.0
no_action,0.03351671759999997,55.43545749034715,1.0
no_action,0.025093139500000028,51.31633468062315,1.0
no_action,0.008135843200000048,40.638512694332,1.0
no_action,0.025805669200000048,51.942675899862024,1.0
no_action,0.03623761999999997,57.28793345146987,1.0
no_action,0.029193131999999955,53.382789983119544,1.0
no_action,0.04866506879999999,62.28751078954013,1.0
no_action,0.02435857659999996,51.16779823217551,1.0
strengthen,0.05550955146137533,66.36200042505072,1.0
strengthen,0.05107291941012501,63.781223757848835,1.0
no_action,0.03835177479999996,58.72713248234104,1.0
no_action,0.029586228400000025,53.57894784131881,1.0
no_action,0.007805215999999948,40.233533856665815,1.0
no_action,0.031170559800000053,54.36176505602107,1.0
no_action,0.04462670280000003,61.042404138821205,1.0
no_action,0.016429976800000023,47.3776819452491,1.0
no_action,0.026223090000000004,52.282161016141934,1.0
no_action,0.014192387599999967,46.15772447315493,1.0
no_action,0.03140030100000002,54.52627956588051,1.0
no_action,0.028900197999999988,53.104857667754985,1.0
no_action,0.022240446400000002,50.321201063357314,1.0
no_action,0.01662340019999997,47.485720381382414,1.0
no_action,0.007693715199999951,40.13542776660016,1.0
no_action,0.017548480800000044,47.91687490372001,1.0
no_action,0.025415750399999992,51.5963899917346,1.0
no_action,0.023257640299999993,51.035159198329104,1.0
no_action,0.03729307999999998,58.07231369694964,1.0
no_action,0.019487496799999948,49.28471249669594,1.0
no_action,0.04557950369999997,61.29227013257894,1.0
no_action,0.04005444069999997,59.25275373129663,1.0
no_action,0.0332896855,55.25864522087214,1.0
no_action,0.024074889700000046,51.19017732683364,1.0
no_action,0.008507147500000034,40.643665864021756,1.0
no_action,0.02580801229999996,51.80881611448295,1.0
no_action,0.03597596000000003,57.08834035754395,1.0
no_action,0.016218701500000043,47.50921040969745,1.0
no_action,0.027625853199999995,52.47731257051544,1.0
no_action,0.01379337759999999,46.27342710516929,1.0
no_action,0.03187540480000006,54.75054282696719,1.0
no_action,0.028829988799999984,53.31068161001925,1.0
no_action,0.02250855900000004,50.490914170627214,1.0
no_action,0.01665013000000004,47.61865036860986,1.0
no_action,0.0076239322000000165,40.17300647976836,1.0
no_action,0.0178667535,48.05539801970788,1.0
no_action,0.02565259480000004,51.78264541852283,1.0
no_action,0.00787684639999997,40.38254302536625,1.0
no_action,0.00987008519999999,42.871103627607454,1.0
no_action,0.007243367599999995,39.763529658690665,1.0
no_action,0.011036918399999984,44.00978215572715,1.0
no_action,0.009986764899999945,43.288544592326936,1.0
no_action,0.009003304900000009,41.87610138363127,1.0
no_action,0.007894928000000023,40.43736234293348,1.0
no_action,0.005159794600000045,36.70778202427148,1.0
no_action,0.008098113800000029,40.65613260217167,1.0
no_action,0.009871937200000014,42.5231395056629,1.0
no_action,0.03614647999999998,57.230910508131174,1.0
strengthen,0.06254583862546537,70.4478506237172,1.0
no_action,0.03074785390000001,53.943282073151394,1.0
strengthen,0.07134835893033784,76.49546140060875,1.0
strengthen,0.0664518339945067,72.66491225666313,1.0
strengthen,0.053669315223074,65.16331583615238,1.0
no_action,0.03647478000000004,57.52206019394186,1.0
no_action,0.005767135000000034,37.713967241079885,1.0
no_action,0.038789629599999986,58.68396616192118,1.0
strengthen,0.05928034673494949,68.59978594007163,1.0
no_action,0.020184681699999985,49.473935736088535,1.0
no_action,0.033731485599999944,55.501625552291955,1.0
no_action,0.01735611199999998,47.97458685021294,1.0
no_action,0.037779571600000006,58.25968616037808,1.0
no_action,0.03538403999999995,56.51273400174648,1.0
no_action,0.02849815659999999,53.09157176950951,1.0
no_action,0.02060070089999999,49.60671684735969,1.0
no_action,0.00808601320000002,40.57307977809747,1.0
no_action,0.021789323200000044,50.136613231040506,1.0
no_action,0.031706095200000006,54.65880107280752,1.0
no_action,0.01729863399999998,47.767718388856636,1.0
no_action,0.02836539760000001,52.863374470690026,1.0
no_action,0.013958315200000015,46.500206870834575,1.0
no_action,0.032533386100000006,55.19496895219095,1.0
no_action,0.030330439700000045,53.71813990769144,1.0
no_action,0.02316017800000003,50.82597613231367,1.0
no_action,0.01745534559999995,47.87996817241097,1.0
no_action,0.007811196799999975,40.24316052691481,1.0
no_action,0.018098622400000042,48.32792913466655,1.0
no_action,0.026519087800000007,52.150872033478024,1.0
no_action,0.013760588799999973,46.25035546748211,1.0
no_action,0.022849695999999975,50.64295224098777,1.0
no_action,0.012499023399999976,45.15772540865723,1.0
no_action,0.027420858699999995,52.652851306405,1.0
no_action,0.024696453200000024,51.3797837383218,1.0
no_action,0.018823869999999965,48.88665840487044,1.0
no_action,0.014140810300000028,46.34711789201569,1.0
no_action,0.007199646400000037,39.76397804019501,1.0
no_action,0.014788024699999958,46.733272657145044,1.0
no_action,0.02216663750000003,50.02875539242685,1.0
no_action,0.013380317500000016,46.09703886156067,1.0
no_action,0.022680615700000017,50.42441537449852,1.0
no_action,0.012094652599999978,45.020631921044895,1.0
no_action,0.027641077299999983,52.4044719236274,1.0
no_action,0.024116314300000052,51.15030656824253,1.0
no_action,0.018834877600000022,48.69419858290212,1.0
no_action,0.013771518400000016,46.192364580002916,1.0
no_action,0.007567977600000053,39.70696966554589,1.0
no_action,0.014381095600000005,46.57278580852515,1.0
no_action,0.020844095800000018,49.819337978636895,1.0
no_action,0.022479924400000018,50.42621383717014,1.0
no_action,0.03590833999999998,57.04999708256078,1.0
